platform;category;title;caption;hashtags;url;card_url
Instagram;Calçados;👟 Ofertas de Calçados hoje;👟 Ofertas de Calçados atualizadas hoje!\n\nDestaque: Bota Feminina Linda Moça Cano Longo Montaria Confort Preta\nPreço: R$ 94,90\n\nVeja a seleção completa:\nhttps://marylouse-ofertas.vercel.app/ofertas-calcados.html?utm_source=social&utm_medium=organic&utm_campaign=social_calcados;#MaryLouseOfertas #Ofertas #Promocao #Achadinhos #Calcados #Tenis #Moda;https://marylouse-ofertas.vercel.app/ofertas-calcados.html?utm_source=social&utm_medium=organic&utm_campaign=social_calcados;https://marylouse-ofertas.vercel.app/growth/pinterest/calcados.png
Facebook;Calçados;👟 Ofertas de Calçados hoje;👟 Ofertas de Calçados atualizadas hoje!\n\nDestaque: Bota Feminina Linda Moça Cano Longo Montaria Confort Preta\nPreço: R$ 94,90\n\nVeja a seleção completa:\nhttps://marylouse-ofertas.vercel.app/ofertas-calcados.html?utm_source=social&utm_medium=organic&utm_campaign=social_calcados;#MaryLouseOfertas #Ofertas #Promocao #Achadinhos #Calcados #Tenis #Moda;https://marylouse-ofertas.vercel.app/ofertas-calcados.html?utm_source=social&utm_medium=organic&utm_campaign=social_calcados;https://marylouse-ofertas.vercel.app/growth/pinterest/calcados.png
Threads;Calçados;👟 Ofertas de Calçados hoje;👟 Ofertas de Calçados atualizadas hoje!\n\nDestaque: Bota Feminina Linda Moça Cano Longo Montaria Confort Preta\nPreço: R$ 94,90\n\nVeja a seleção completa:\nhttps://marylouse-ofertas.vercel.app/ofertas-calcados.html?utm_source=social&utm_medium=organic&utm_campaign=social_calcados;#MaryLouseOfertas #Ofertas #Promocao #Achadinhos #Calcados #Tenis #Moda;https://marylouse-ofertas.vercel.app/ofertas-calcados.html?utm_source=social&utm_medium=organic&utm_campaign=social_calcados;https://marylouse-ofertas.vercel.app/growth/pinterest/calcados.png
WhatsApp Status;Calçados;👟 Ofertas de Calçados hoje;👟 Ofertas de Calçados atualizadas hoje!\n\nDestaque: Bota Feminina Linda Moça Cano Longo Montaria Confort Preta\nPreço: R$ 94,90\n\nVeja a seleção completa:\nhttps://marylouse-ofertas.vercel.app/ofertas-calcados.html?utm_source=social&utm_medium=organic&utm_campaign=social_calcados;#MaryLouseOfertas #Ofertas #Promocao #Achadinhos #Calcados #Tenis #Moda;https://marylouse-ofertas.vercel.app/ofertas-calcados.html?utm_source=social&utm_medium=organic&utm_campaign=social_calcados;https://marylouse-ofertas.vercel.app/growth/pinterest/calcados.png
Instagram;Informática;💻 Ofertas de Informática hoje;💻 Ofertas de Informática atualizadas hoje!\n\nDestaque: Mesa Dobrável Notebook Retrátil Home Office Apoio Cama Sofá Trabalho…\nPreço: R$ 37,89\n\nVeja a seleção completa:\nhttps://marylouse-ofertas.vercel.app/ofertas-informatica.html?utm_source=social&utm_medium=organic&utm_campaign=social_informatica;#MaryLouseOfertas #Ofertas #Promocao #Achadinhos #Informatica #Notebook #Setup;https://marylouse-ofertas.vercel.app/ofertas-informatica.html?utm_source=social&utm_medium=organic&utm_campaign=social_informatica;https://marylouse-ofertas.vercel.app/growth/pinterest/informatica.png
Facebook;Informática;💻 Ofertas de Informática hoje;💻 Ofertas de Informática atualizadas hoje!\n\nDestaque: Mesa Dobrável Notebook Retrátil Home Office Apoio Cama Sofá Trabalho…\nPreço: R$ 37,89\n\nVeja a seleção completa:\nhttps://marylouse-ofertas.vercel.app/ofertas-informatica.html?utm_source=social&utm_medium=organic&utm_campaign=social_informatica;#MaryLouseOfertas #Ofertas #Promocao #Achadinhos #Informatica #Notebook #Setup;https://marylouse-ofertas.vercel.app/ofertas-informatica.html?utm_source=social&utm_medium=organic&utm_campaign=social_informatica;https://marylouse-ofertas.vercel.app/growth/pinterest/informatica.png
Threads;Informática;💻 Ofertas de Informática hoje;💻 Ofertas de Informática atualizadas hoje!\n\nDestaque: Mesa Dobrável Notebook Retrátil Home Office Apoio Cama Sofá Trabalho…\nPreço: R$ 37,89\n\nVeja a seleção completa:\nhttps://marylouse-ofertas.vercel.app/ofertas-informatica.html?utm_source=social&utm_medium=organic&utm_campaign=social_informatica;#MaryLouseOfertas #Ofertas #Promocao #Achadinhos #Informatica #Notebook #Setup;https://marylouse-ofertas.vercel.app/ofertas-informatica.html?utm_source=social&utm_medium=organic&utm_campaign=social_informatica;https://marylouse-ofertas.vercel.app/growth/pinterest/informatica.png
WhatsApp Status;Informática;💻 Ofertas de Informática hoje;💻 Ofertas de Informática atualizadas hoje!\n\nDestaque: Mesa Dobrável Notebook Retrátil Home Office Apoio Cama Sofá Trabalho…\nPreço: R$ 37,89\n\nVeja a seleção completa:\nhttps://marylouse-ofertas.vercel.app/ofertas-informatica.html?utm_source=social&utm_medium=organic&utm_campaign=social_informatica;#MaryLouseOfertas #Ofertas #Promocao #Achadinhos #Informatica #Notebook #Setup;https://marylouse-ofertas.vercel.app/ofertas-informatica.html?utm_source=social&utm_medium=organic&utm_campaign=social_informatica;https://marylouse-ofertas.vercel.app/growth/pinterest/informatica.png
Instagram;Mãe e Bebê;🍼 Ofertas de Mãe e Bebê hoje;🍼 Ofertas de Mãe e Bebê atualizadas hoje!\n\nDestaque: KIT 3: Baby Tee Feminina - Blusa Slim Fit Manga Curta - Blusa de Comp…\nPreço: R$ 37,95\n\nVeja a seleção completa:\nhttps://marylouse-ofertas.vercel.app/ofertas-mae-bebe.html?utm_source=social&utm_medium=organic&utm_campaign=social_mae-bebe;#MaryLouseOfertas #Ofertas #Promocao #Achadinhos #Fraldas #Bebe #Maternidade;https://marylouse-ofertas.vercel.app/ofertas-mae-bebe.html?utm_source=social&utm_medium=organic&utm_campaign=social_mae-bebe;https://marylouse-ofertas.vercel.app/growth/pinterest/mae-bebe.png
Facebook;Mãe e Bebê;🍼 Ofertas de Mãe e Bebê hoje;🍼 Ofertas de Mãe e Bebê atualizadas hoje!\n\nDestaque: KIT 3: Baby Tee Feminina - Blusa Slim Fit Manga Curta - Blusa de Comp…\nPreço: R$ 37,95\n\nVeja a seleção completa:\nhttps://marylouse-ofertas.vercel.app/ofertas-mae-bebe.html?utm_source=social&utm_medium=organic&utm_campaign=social_mae-bebe;#MaryLouseOfertas #Ofertas #Promocao #Achadinhos #Fraldas #Bebe #Maternidade;https://marylouse-ofertas.vercel.app/ofertas-mae-bebe.html?utm_source=social&utm_medium=organic&utm_campaign=social_mae-bebe;https://marylouse-ofertas.vercel.app/growth/pinterest/mae-bebe.png
